,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
F001996,"Cabbage, Chinese, raw","Large and cylindrical in shape, with layers of tightly packed leaves. Each leaf has a long, fleshy, thick white stem and mid-green colour leaves. Uncooked.",45,1.1,0,0,0.9,0.9,6
F001993,"Cabbage, Chinese, boiled, drained","Large and cylindrical in shape, with layers of tightly packed leaves. Each leaf has a long, fleshy, thick white stem and mid-green colour leaves. Chopped and cooking by boiling in unsalted water then draining, by microwaving, or by steaming.",47,1.1,0,0,0.9,0.9,6
F001990,"Cabbage, Chinese flowering, raw",Leafy vegetable with long pale to mid green stem with rounded pale and mid green leaves and flowers. Uncooked.,72,1.3,0.3,0,0.9,0.8,13
F001988,"Cabbage, Chinese flowering, boiled, drained","Leafy vegetable with long pale to mid green stem with rounded pale and mid green leaves and flowers. Chopped and cooking by boiling in unsalted water then draining, by microwaving, or by steaming.",75,1.4,0.3,0,0.9,0.8,13
F001998,"Cabbage, mustard, raw","Plant with thick, pale green, grooved, curving stems with a small fringe of deeper green leaf along the edges and across the top of stems. Uncooked.",78,2.3,0.3,0,0.7,0.7,3
F001997,"Cabbage, mustard, boiled, drained","Plant with thick, pale green, grooved, curving stems with a small fringe of deeper green leaf along the edges and across the top of stems. Chopped and cooking by boiling in unsalted water then draining, by microwaving, or by steaming.",82,2.4,0.3,0,0.7,0.7,3
F002000,"Cabbage, pickled (sauerkraut)","Fermented cabbage, preserved in brine in a can or jar, then drained.",103,1.2,0.2,0,3.3,1.1,549
F002006,"Cabbage, red, raw","Large, smooth and round in shape, with layers of tightly packed purple-red coloured leaves. Uncooked.",132,2.2,0.3,0,3.2,3.2,16
F002003,"Cabbage, red, boiled, drained","Large, smooth and round in shape, with layers of tightly packed purple-red coloured leaves. Leaves chopped and boiled in unsalted water without added fat, then drained.",137,2.3,0.3,0,3.3,3.3,16
F002010,"Cabbage, savoy, raw","Round in shape, with tightly packed green wrinkled layers of leaves. Uncooked.",92,1.7,0.1,0,2.3,2.3,23
F002009,"Cabbage, savoy, boiled, drained","Round in shape, with tightly packed green wrinkled layers of leaves. Chopped and boiled in unsalted water without added fat, then drained.",96,1.8,0.1,0,2.4,2.4,23
F002015,"Cabbage, white, raw","Round in shape, with tightly packed layers of leaves. Uncooked.",105,1.2,0,0,3.8,3.8,16
F002014,"Cabbage, white, boiled, drained","Round in shape, with tightly packed layers of leaves. Shredded, then boiled in unsalted water without added fat, then drained.",109,1.2,0,0,3.9,3.9,15
F002239,"Capsicum, green, fresh, raw","A shiny green vegetable with crisp, moist flesh. Hollow with a seeded core. Uncooked.",72,0.9,0,0,2.5,2.5,1
F002238,"Capsicum, green, fresh, fried, no added fat","A shiny green vegetable with crisp, moist flesh. Hollow with a seeded core. Chopped and fried without added fat.",80,1,0,0,2.8,2.8,1
F002247,"Capsicum, red, fresh, raw","A shiny red vegetable with crisp, moist flesh. Hollow with a seeded core. Uncooked.",120,1.1,0.4,0,4.4,4.4,3
F002246,"Capsicum, red, fresh, fried, no added fat","A shiny red vegetable with crisp, moist flesh. Hollow with a seeded core. Chopped and fried without added fat.",134,1.2,0.4,0,4.9,4.9,3
F010259,"Capsicum, yellow, fresh, raw","A shiny yellow vegetable with crisp, moist flesh. Hollow with a seeded core. Uncooked.",122,1.1,0.4,0,4.3,4.3,2
F002266,"Carrot, baby, peeled, fresh, raw",Crisp root vegetable with orange flesh and green leaves/stem. Uncooked.,141,0.7,0.1,0,5.5,5.5,51
F002265,"Carrot, baby, peeled, fresh, boiled, drained","Crisp root vegetable with orange flesh and green leaves/stem. Peeled and boiled in unsalted water without added fat, then drained.",151,0.8,0.1,0,5.9,5.9,52
F002263,"Carrot, baby, baked, no added fat",Crisp root vegetable with orange flesh and green leaves/stem. Baked with no added fat.,153,0.8,0.1,0,6,6,55
F002276,"Carrot, mature, peeled, fresh, raw",Root vegetable with orange flesh and green leaves/stem. Uncooked.,152,0.6,0,0,6.6,6.2,51
F002274,"Carrot, mature, peeled, fresh, baked, no added fat",Crisp root vegetable with orange flesh and green leaves/stem. Peeled and baked without added fat.,186,0.7,0,0,8,7.6,63
F002275,"Carrot, mature, peeled, fresh, boiled, drained","Root vegetable with orange flesh and green leaves/stem. Peeled and boiled in unsalted water without added fat, then drained.",144,1.1,0.3,0,5.1,4.6,67
F002288,"Cassava, white flesh, peeled, fresh, raw","Long, coarse brown tuber, with a fibrous white flesh. Uncooked.",647,0.6,0.3,0,34.1,1.2,2
F002287,"Cassava, white flesh, peeled, fresh, boiled, drained","Long, coarse brown tuber, with a fibrous white flesh. Peeled and boiled in unsalted water without added fat, then drained.",696,0.6,0.3,0,36.7,1.3,2
F002290,"Cassava, yellow flesh, peeled, fresh, raw","Long, coarse brown tuber, with a fibrous yellow flesh. Uncooked.",534,1.6,0.2,0,26.7,1.2,2
F002289,"Cassava, yellow flesh, peeled, fresh, boiled, drained","Long, coarse brown tuber, with a fibrous yellow flesh. Peeled and boiled in unsalted water without added fat, then drained.",574,1.7,0.2,0,28.7,1.3,2
F002378,"Cauliflower, fresh, raw","Tight white flower clusters which form the head, with a white stem. Uncooked.",105,1.9,0.2,0,3.3,2.8,40
F002377,"Cauliflower, fresh, boiled, drained","Tight white flower clusters which form the head, with a white stem. Boiled in unsalted water, without added fat, then drained.",109,2,0.2,0,3.4,2.9,40
F002374,"Cauliflower, fresh, baked, no added fat","Tight white flower clusters which form the head, with a white stem. Baked, roasted, fried, stir-fried, grilled or BBQ'd without added fat.",128,2.3,0.2,0,4,3.4,49
F002384,"Celeriac, peeled, raw","A thick tuberous root with brown skin and white flesh, with a celery like flavour. Uncooked.",148,1.6,0.2,0,2.8,2.8,21
F002383,"Celeriac, peeled, boiled, drained","A thick tuberous root with brown skin and white flesh, with a celery like flavour. Peeled, chopped, and boiled in unsalted water without added fat, then drained.",159,1.7,0.2,0,3,3,21
F002390,"Celery, fresh, raw",A green upright vegetable with long stems and green leafy ends.,68,0.6,0.1,0,1.8,1.8,90
F002389,"Celery, fresh, fried, no added fat",A green upright vegetable with long stems and green leafy ends. Chopped and fried without added fat.,83,0.8,0.1,0,2.1,2.1,110
F002884,"Chicory, raw","A leafy vegetable with long white leaves, typically used in salads, stews and casseroles. Uncooked.",68,1.8,0.2,0,0.8,0.7,36
F002883,"Chicory, boiled, drained","A leafy vegetable with long white leaves, typically used in salads, stews and casseroles. Boiled in unsalted water without added fat, then drained.",80,2.1,0.2,0,0.9,0.8,40
F002896,"Chilli (chili), green, raw","A long thin shiny green vegetable with crisp, moist flesh. Hollow with a seeded core. Uncooked.",183,2.8,0.3,0,1,1,4
F002894,"Chilli (chili), green, fried, no added fat","A long thin shiny green vegetable with crisp, moist flesh. Hollow with a seeded core. Sliced and fried without added fat.",204,3.1,0.3,0,1.1,1.1,4
F002901,"Chilli (chili), red, raw","A long thin shiny red vegetable with crisp, moist flesh. Uncooked.",200,1.4,0.7,0,4.8,4.8,3
F002900,"Chilli (chili), red, fried, no added fat","A long thin shiny red vegetable with crisp, moist flesh. Hollow with a seeded core. Sliced and fried without added fat.",222,1.6,0.8,0,5.3,5.3,3
F002949,"Choko, peeled, fresh, raw","Pear-shaped green vegetable which grows on a vine and has a single soft seed, and pear-textured pale green flesh. Peeled and uncooked.",90,0.5,0.2,0,3.6,3.1,8
F002948,"Choko, peeled, fresh, boiled, drained","Pear-shaped green vegetable which grows on a vine and has a single soft seed, and pear-textured pale green flesh. Cooked.",107,0.6,0.2,0,4.3,3.7,9
F003209,"Corn, fresh on cob, raw","The round, yellow kernels of maize formed on an ear which is surrounded by a green husk. Uncooked kernels from a cob.",374,3.6,1.8,0.43,12.5,5.4,19
F003200,"Corn, fresh on cob, boiled, drained","The round, yellow kernels of maize formed on an ear which is surrounded by a green husk. Boiled on the cob in unsalted water, without added fat, then drained.",390,3.8,1.9,0.45,13,5.6,19
F003213,"Sweetcorn, fresh or frozen on cob, baked, roasted, fried, stir-fried, grilled or BBQ'd, no added fat","The round, yellow kernels of maize formed on an ear which is surrounded by a green husk. Kernels fresh or frozen. Cooked by baking, roasting, frying, stir-frying, grilling or BBQ'ing without added fat.",416,4,2,0.48,13.9,6,21
F003202,"Corn, kernels, purchased frozen, raw",Corn kernels purchased frozen separated from cob. Uncooked.,394,3,0.9,0.24,16.8,3,5
F003201,"Corn, kernels, purchased frozen, boiled, drained","Corn kernels purchased frozen separated from cob. Boiled in unsalted water, without added fat, then drained.",455,3.1,0.9,0.24,19.9,2.6,8
F003204,"Corn, baby, canned, heated, drained","Baby (miniature) corn on the cob, purchased canned in brine. Gently heated in packing liquid, then drained.",107,1.6,0.2,0,2.5,1.6,182
F003207,"Corn, creamed, canned, heated","Coarsely pureed sweetcorn kernels with added thickener (maize starch), salt, sugar and water. Purchased canned then heated.",296,2,1.1,0,11.2,5.1,218
F003220,"Corn, kernels, canned in brine, drained","Corn kernels purchased canned with added water, sugar, salt, mineral salt, then drained.",394,2.9,1,0.25,16.8,3.5,170
F003319,"Cucumber, common, peeled, raw",Long and cylindrical in shape with dark green skin and white flesh with a crisp texture. Peeled and uncooked.,53,0.4,0.1,0,2.1,2.1,21
F003320,"Cucumber, common, unpeeled, raw",Long and cylindrical in shape with dark green skin and white flesh with a crisp texture. Unpeeled and uncooked.,52,0.8,0.1,0,1.2,1.2,10
F010995,"Cucumber, Lebanese, peeled, raw",Long and cylindrical fruiting vegetable with dark green skin and white flesh with a crisp texture. Peeled and uncooked.,50,0.7,0,0,1.9,1.8,6
F003321,"Cucumber, Lebanese, unpeeled, raw",Long and cylindrical in shape with dark green skin and white flesh with a crisp texture. Unpeeled and uncooked.,47,0.7,0,0,1.8,1.7,4
F003324,"Cucumber, telegraph, unpeeled, raw",Long and cylindrical in shape with dark green skin and white flesh with a crisp texture. Unpeeled and uncooked.,58,1.2,0.1,0,1.4,1.4,16
F003761,"Eggplant, unpeeled, fresh, raw","A smooth, shiny deep purple-blackish skinned vegetable with a creamy white interior with many small light brown seeds dispersed through the flesh. Uncooked.",89,1,0.2,0,2.6,2.6,7
F003753,"Eggplant, unpeeled, fresh, roasted, no added fat","A smooth, shiny deep purple-blackish skinned vegetable with a creamy white interior with many small light brown seeds dispersed through the flesh. Cooked by baking, roasting, grilling or BBQ'ing without added fat.",139,1.4,0.2,0,4.2,4.2,12
F003784,"Endive, fresh, raw","A salad leaf vegetable made up of rosette of green curly leaves, darker at tips and lighter in the centre. Uncooked.",59,1.5,0.2,0,0.4,0.3,76
F003820,"Fennel, fresh, raw","A light green coloured, short, bulbous, aniseed flavoured celery-like shoot. Its feathery green leaves are used as a herb and its seeds are used in bread, pastries, pasta and pickles. Uncooked.",97,1,0.1,0,3.3,3.3,38
F003819,"Fennel, fresh, boiled, drained","A light green-coloured, short, bulbous, aniseed flavoured celery-like shoot. Boiled in unsalted water without added fat, then drained.",114,1.2,0.1,0,3.9,3.9,42
F004193,"Garlic, peeled, fresh, raw","Bulb made up of segments called cloves, covered by a papery shell. Uncooked.",526,6.1,2.8,0.78,10.2,1.5,8
F004192,"Garlic, peeled, fresh, fried, no added fat","Bulb made up of segments called cloves, covered by a papery shell. Fried without added fat.",848,9.8,4.5,1.26,16.4,2.4,13
F004206,"Gherkin, pickled, drained, commercial","Small whole cucumbers, known as gherkins, pickled in acidified brine, then drained.",462,0.4,0.3,0,24.4,23.6,520
F006638,"Pickles, mustard, sweet, commercial","Thick, tangy preserve made from vegetables (such as onion, cauliflower, cucumber) pickled in a sweetened brine with added mustard.",360,0.8,0.5,0.02,17.5,14.7,620
F004213,"Ginger, peeled, fresh, raw",Thick tuberous vegetable with brown skin and pale yellow flesh. Uncooked.,134,0.8,0.4,0,4.8,1.7,11
F004212,"Ginger, peeled, fresh, fried, no added fat",Thick tuberous vegetable with brown skin and pale yellow flesh. Fried without added fat.,163,1,0.5,0,5.8,2.1,13
F004781,"Kale, raw","A loose-leafed edible vegetable derived from the Brassicaceae family. The elongated leaves with wavy to frilled margins are typically blue-green in colour but can also be light green or purple, depending on the variety.",109,3.3,0,0,0.3,0.3,86
F004780,"Kale, fried, no added fat","A loose-leafed edible vegetable derived from the Brassicaceae family. The elongated leaves with wavy to frilled margins are typically blue-green in colour but can also be light green or purple, depending on the variety. Dry fried without the addition of fat. ",156,4.7,0,0,0.4,0.4,122
F004820,"Kohlrabi, peeled, fresh, raw","A round, turnip like, purple or light green globe, with several stalks that sprout green leaves. Peeled and uncooked.",168,3.7,0.1,0,4.2,4.2,16
F004819,"Kohlrabi, peeled, fresh, boiled, drained","A round, turnip like, purple or light green globe, with several stalks that sprout green leaves. Peeled and boiled in unsalted water, without added fat, then drained.",175,3.8,0.1,0,4.4,4.4,16
F005164,"Leek, fresh, raw","Long and cylindrical in shape, with thick white stalks and green fan-shaped leaves. Uncooked.",176,1.6,0.2,0,6.7,4.1,12
F005163,"Leek, fresh, fried, no added fat","Long and cylindrical in shape, with thick white stalks and green fan-shaped leaves. Fried without added fat.",212,2,0.2,0,8.1,4.9,14
F005162,"Leek, fresh, boiled, drained","Long and cylindrical in shape, with thick white stalks and green fan-shaped leaves. Boiled in unsalted water, without added fat, then drained.",196,1.8,0.2,0,7.4,4.6,12
F005191,"Lettuce, cos, raw","Green, crisp, elongated leaves, tightly wrapped to form an elongated head. Uncooked.",74,1.2,0.2,0,1.8,1.8,16
F005192,"Lettuce, iceberg, raw","Round in shape, with packed layers of crisp green leaves. Uncooked.",63,1,0,0,2.1,2.1,12
F005193,"Lettuce, mignonette, raw","Round in shape, with curled layers of crisp leaves which vary in colour from green to deep red/purple. Uncooked.",65,1.3,0.3,0,1.1,1.1,18
F005513,"Melon, bitter, fresh, raw",Cylindrically shaped fruiting vegetables that turns orange to red in colour when ripe. The raw flesh is bitter tasting. Uncooked.,46,0.9,0,0,0.2,0.1,3
