,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
F001182,"Biscuit, sweet, chocolate flavoured, commercial","Commercially prepared crunchy chocolate flavoured biscuit, commonly containing wheat flour, sugar, cocoa, fats, and eggs.","1,985",6.2,17.2,8.38,72.4,31,308
F001195,"Biscuit, sweet, ginger flavoured, commercial",Commercially prepared sweet crunchy ginger flavoured biscuits.,"1,812",4.8,10.6,5.09,77.7,39,358
F001215,"Biscuit, sweet, plain","Commercially prepared sweet plain biscuit, made without added flavourings, chocolate, fruit or nuts.","1,893",6.4,15.8,7.56,69.4,24.7,289
F001225,"Biscuit, sweet, plain, sponge finger, commercial","Commercially prepared sweet, plain sponge finger biscuit typically made from wheat flour, sugar, egg and raising agents. ","1,637",7,4.3,2.06,78.7,34,75
F001244,"Biscuit, sweet, shortbread style, commercial","Commercially prepared shortbread-style biscuits. Ingredients may include butter, wheat flour, sugar and rice flour.","2,130",6.2,26.3,16.06,60.8,20.4,270
F001250,"Biscuit, sweet, wafer style","Sweet biscuit, often served on top of ice cream. Typically made from wheat flour, cornflour, fat, sugar and salt.","1,715",8.6,5.7,1.03,78.3,2.5,508
F001251,"Biscuit, sweet, wheatmeal",Commercially prepared sweet biscuit made from wheat flour with added wheatmeal.,"1,749",7.8,11.7,1.28,67,21.6,423
F003095,"Cone, wafer style, for ice cream","Wafer shaped into a cone or similar shape, used for serving ice cream.","1,683",9.1,4,0.72,79.7,2.6,328
F001401,"Bread, flat (pita or Lebanese), white, commercial","Flat bread made from white wheat flour. Includes a range of styles, including Lebanese, pita, naan, tortillas, mountain bread and wraps. May vary in diameter. Contains added folic acid, iodised salt and thiamin. Ready to eat.","1,105",9.5,2.1,0.62,49.1,3.1,498
F001404,"Bread, flat (pita or Lebanese), wholemeal, commercial","Double layered, Middle Eastern style flat bread made from wholemeal wheat flour with a small amount of crumb adhering to both crusts. May vary in diameter. Contains added folic acid, iodised salt and thiamin.","1,077",8.6,2,0.46,47.2,3.1,470
F001647,"Bread, Naan, commercial","Commercial Indian yeast-leavened bread based on white wheat flour, water, oil and yoghurt generally baked in a tandoor-style oven. May contain added vitamins (thiamin, riboflavin, folate), minerals (calcium, iron) and iodised salt. ","1,230",8,7.1,1.35,47.8,6,630
F001669,"Bread, tortilla, white, commercial","Single layered flat bread made from white wheat flour, oil, salt and water. Generally contains added folic acid, iodised salt and thiamin.","1,267",7.3,9,3.97,46.3,4.3,750
F001415,"Bread, wrap, white, commercial","Single layered flat bread made from white wheat flour and water. Contains added folic acid, iodised salt and thiamin.","1,271",7.8,8.4,3.71,46.9,5.3,610
F009854,"Bread, flat wrap or tortilla, corn, commercial","Single layered flat bread made from corn flour and water. May contain wheat flour and added folic acid, iodised salt and thiamin.","1,003",4.8,3.2,0.43,44.8,4.5,370
